Date,fdate,momentum_AR_1,momentum_AR_2,momentum_AR_3,momentum_AR_4,momentum_AR_5,momentum_TR_1,momentum_TR_2,momentum_TR_3,momentum_TR_4,momentum_TR_5,momentum_AR_Sig,momentum_TR_Sig,momentum_AR_130,momentum_TR_130,momentum_TR_BP,momentum_TR_LO,momentum_CAR_1,momentum_CAR_2,momentum_CAR_3,momentum_CAR_4,momentum_CAR_5,momentum_CTR_1,momentum_CTR_2,momentum_CTR_3,momentum_CTR_4,momentum_CTR_5,momentum_CAR_LS,momentum_CTR_LS,momentum_CAR_SW,momentum_CTR_SW,momentum_CTR_BP,momentum_CTR_LO,momentum_CXR_LO,momentum_CTR_13,momentum_CADD,momentum_CTDD
2001/02/28,2001/01/31,14.14%,12.18%,0.55%,-2.58%,-4.20%,-15.44%,-12.45%,-11.56%,-9.07%,-4.25%,-32.07%,8.74%,-16.05%,-1.06%,-9.48%,-3.68%,114,112,101,97,96,85,88,88,91,96,-18.34%,11.19%,-32.07%,8.74%,-9.48%,-3.68%,5.80%,-1.06%,-32.07%,0.00%
2001/03/31,2001/02/28,-3.78%,3.49%,1.09%,0.22%,-2.10%,-15.46%,-4.65%,-5.93%,-6.76%,-5.80%,-1.97%,7.54%,0.89%,-1.99%,-6.73%,-4.25%,110,116,102,98,94,71,83,83,85,90,-16.97%,21.93%,-33.41%,16.94%,-15.57%,-7.77%,8.42%,-3.02%,-33.41%,0.00%
2001/04/30,2001/03/31,1.79%,-0.91%,-1.82%,0.18%,0.38%,15.21%,9.57%,7.60%,7.78%,4.97%,5.70%,-3.73%,1.51%,5.85%,8.26%,6.97%,112,115,100,98,94,82,91,90,91,95,-18.13%,9.44%,-29.61%,12.57%,-8.60%,-1.34%,7.02%,2.65%,-29.61%,-3.73%
2001/05/31,2001/04/30,1.60%,-1.23%,-0.28%,-0.69%,0.36%,-0.22%,0.78%,2.24%,0.30%,1.99%,-6.08%,-0.96%,-0.18%,6.70%,1.01%,6.99%,114,114,100,97,94,82,92,92,92,97,-19.15%,11.85%,-33.89%,11.49%,-7.68%,5.55%,13.43%,9.53%,-33.89%,-4.66%
2001/06/30,2001/05/31,-0.36%,1.83%,0.87%,-0.72%,3.48%,-3.27%,-1.27%,-1.53%,-3.19%,1.99%,8.59%,7.16%,3.66%,7.12%,-1.54%,4.98%,113,116,100,96,98,79,91,90,89,98,-16.04%,17.74%,-28.22%,19.47%,-9.10%,10.80%,20.82%,17.33%,-28.22%,0.00%
2001/07/31,2001/06/30,-0.35%,-3.26%,0.88%,0.64%,0.79%,-5.65%,-2.27%,0.82%,0.54%,-5.37%,1.39%,4.91%,5.90%,0.24%,-1.79%,-1.23%,113,112,101,97,99,75,89,91,89,93,-15.09%,18.08%,-27.22%,25.33%,-10.73%,9.44%,21.49%,17.61%,-27.22%,0.00%
2001/08/31,2001/07/31,-4.58%,0.19%,1.64%,1.93%,1.18%,-10.77%,-5.57%,-4.26%,-4.32%,-9.60%,4.78%,2.15%,4.58%,-2.81%,-5.97%,-3.45%,108,112,103,99,100,67,84,87,85,84,-10.20%,19.46%,-23.74%,28.02%,-16.06%,5.66%,24.56%,14.31%,-23.74%,0.00%
2001/09/30,2001/08/31,-4.73%,-2.41%,-1.62%,1.10%,4.33%,-18.70%,-8.33%,-7.49%,-7.71%,-9.28%,2.39%,6.01%,6.61%,-9.74%,-8.92%,-11.54%,103,109,101,100,104,54,77,80,79,76,-2.07%,30.72%,-21.91%,35.72%,-23.54%,-6.54%,21.28%,3.17%,-21.91%,0.00%
2001/10/31,2001/09/30,0.91%,4.67%,2.39%,-0.05%,-1.65%,5.62%,2.49%,-0.01%,3.22%,5.72%,3.34%,-5.18%,0.48%,8.53%,2.68%,10.08%,103,115,104,100,102,57,79,80,81,81,-4.57%,30.85%,-19.31%,28.69%,-21.50%,2.89%,30.27%,11.98%,-19.31%,-5.18%
2001/11/30,2001/10/31,3.18%,1.58%,-0.83%,-3.13%,-2.61%,11.38%,9.16%,7.73%,5.36%,5.19%,-3.29%,-4.30%,-2.73%,5.59%,7.75%,6.89%,107,116,103,97,100,64,86,87,86,85,-10.11%,22.76%,-21.96%,23.15%,-15.41%,9.97%,29.14%,18.24%,-21.96%,-9.26%
2001/12/31,2001/11/30,0.01%,-0.20%,1.62%,1.17%,-4.02%,0.94%,0.49%,2.74%,2.72%,0.28%,-1.16%,-2.26%,0.33%,5.59%,1.71%,6.26%,107,116,104,98,96,65,87,89,88,85,-13.73%,21.95%,-22.86%,20.37%,-13.96%,16.86%,35.02%,24.85%,-22.86%,-11.31%
2002/01/31,2001/12/31,-2.13%,-0.33%,-0.49%,0.91%,1.81%,-4.26%,-1.01%,-2.00%,0.32%,-0.64%,-2.24%,-1.83%,2.12%,0.89%,-1.25%,1.44%,104,116,104,99,97,62,86,87,88,85,-10.33%,26.37%,-24.59%,18.17%,-15.04%,18.55%,38.66%,25.96%,-24.59%,-12.93%
2002/02/28,2002/01/31,-4.22%,0.77%,0.01%,0.84%,0.34%,-9.43%,-0.38%,-2.81%,-1.07%,-3.07%,1.92%,2.68%,0.95%,-3.87%,-2.10%,-4.68%,100,117,104,100,98,56,85,85,87,82,-6.24%,34.41%,-23.15%,21.33%,-16.83%,13.01%,35.09%,21.08%,-23.15%,-10.60%
2002/03/31,2002/02/28,2.21%,0.59%,0.69%,0.93%,-1.78%,8.23%,3.76%,3.98%,4.51%,5.87%,-1.07%,-1.59%,-0.24%,8.23%,4.42%,8.71%,102,117,105,101,96,61,89,88,91,87,-9.98%,31.24%,-23.97%,19.40%,-13.15%,22.85%,40.89%,31.05%,-23.97%,-12.02%
2002/04/30,2002/03/31,-1.31%,-1.48%,1.51%,0.21%,0.69%,-9.57%,-6.33%,-4.18%,-3.48%,-4.45%,2.59%,2.76%,3.70%,0.80%,-5.00%,-0.03%,101,116,106,101,97,55,83,85,88,83,-8.18%,37.96%,-22.00%,22.70%,-17.49%,22.82%,47.89%,32.10%,-22.00%,-9.59%
2002/05/31,2002/04/30,-1.50%,-0.74%,0.02%,-0.58%,-0.35%,-4.86%,-1.03%,0.32%,-1.10%,-4.02%,4.13%,2.69%,5.34%,-1.71%,-1.20%,-2.52%,99,115,106,100,96,52,82,85,87,80,-7.13%,39.11%,-18.78%,26.00%,-18.48%,19.72%,45.94%,29.84%,-18.78%,-7.16%
2002/06/30,2002/05/31,-0.40%,2.43%,0.81%,-0.72%,-3.85%,-9.91%,-6.16%,-5.03%,-7.16%,-10.37%,7.77%,7.06%,2.59%,-3.39%,-6.92%,-5.51%,99,118,107,100,93,47,77,81,81,71,-10.32%,38.47%,-12.47%,34.90%,-24.12%,13.13%,48.01%,25.45%,-12.47%,-0.60%
