Date,fdate,chs_AR_1,chs_AR_2,chs_AR_3,chs_AR_4,chs_AR_5,chs_TR_1,chs_TR_2,chs_TR_3,chs_TR_4,chs_TR_5,chs_AR_Sig,chs_TR_Sig,chs_AR_130,chs_TR_130,chs_TR_BP,chs_TR_LO,chs_CAR_1,chs_CAR_2,chs_CAR_3,chs_CAR_4,chs_CAR_5,chs_CTR_1,chs_CTR_2,chs_CTR_3,chs_CTR_4,chs_CTR_5,chs_CAR_LS,chs_CTR_LS,chs_CAR_SW,chs_CTR_SW,chs_CTR_BP,chs_CTR_LO,chs_CXR_LO,chs_CTR_13,chs_CADD,chs_CTDD
2006/09/30,2006/08/31,0.65%,0.50%,-0.22%,0.28%,-0.47%,2.62%,2.76%,2.11%,2.26%,1.97%,2.17%,2.01%,1.29%,2.47%,2.24%,1.87%,76,102,109,111,109,51,112,125,126,119,35.42%,87.07%,-19.09%,-2.51%,15.33%,139.4%,110.3%,153.0%,-19.09%,-38.86%
2006/10/31,2006/09/30,0.88%,-0.05%,-0.00%,0.45%,-0.60%,5.27%,3.47%,3.73%,4.04%,3.18%,-0.34%,-1.17%,-0.88%,4.42%,3.69%,4.77%,77,102,109,111,108,54,116,130,131,123,33.42%,83.16%,-19.37%,-3.65%,19.59%,150.8%,112.6%,164.2%,-19.37%,-39.58%
2006/11/30,2006/10/31,2.07%,0.27%,0.20%,-0.61%,-0.08%,4.44%,2.36%,2.09%,1.53%,2.33%,0.29%,-0.10%,-0.78%,2.46%,2.16%,2.49%,78,102,110,111,108,56,119,133,133,125,30.55%,79.30%,-19.14%,-3.74%,22.17%,157.1%,113.3%,170.7%,-19.14%,-39.64%
2006/12/31,2006/11/30,-0.28%,0.45%,-0.28%,-0.13%,-0.52%,0.93%,2.07%,1.39%,0.93%,0.98%,1.61%,0.99%,1.95%,2.79%,1.18%,2.49%,78,103,109,110,107,56,121,135,135,127,30.23%,79.38%,-17.84%,-2.79%,23.61%,163.5%,116.1%,178.2%,-17.84%,-39.04%
2007/01/31,2006/12/31,1.56%,-0.91%,0.65%,1.01%,-0.57%,3.75%,0.71%,2.15%,2.82%,1.44%,-1.95%,-3.04%,0.06%,1.34%,2.01%,2.25%,79,102,110,112,107,59,122,137,139,129,27.45%,75.23%,-19.44%,-5.74%,26.09%,169.4%,116.6%,182.0%,-19.44%,-40.89%
2007/02/28,2007/01/31,0.03%,0.71%,0.76%,-0.12%,-1.04%,-1.02%,-0.99%,-0.42%,-1.47%,-2.80%,0.48%,0.88%,0.94%,1.25%,-1.63%,0.99%,79,102,111,111,106,58,121,137,136,125,26.08%,72.10%,-19.06%,-4.91%,24.04%,172.1%,122.3%,185.5%,-19.06%,-40.37%
2007/03/31,2007/02/28,-2.29%,0.09%,-0.13%,-0.24%,0.37%,-0.55%,0.85%,0.82%,1.22%,1.34%,4.76%,4.36%,1.76%,2.41%,1.00%,1.10%,78,103,111,111,106,58,122,138,138,127,29.43%,75.35%,-15.20%,-0.77%,25.28%,175.1%,122.5%,192.4%,-15.20%,-37.78%
2007/04/30,2007/03/31,1.39%,0.48%,-0.03%,-0.63%,0.63%,5.49%,4.06%,3.10%,3.01%,4.93%,1.46%,0.54%,2.33%,3.29%,3.86%,3.13%,79,103,111,110,107,61,127,142,142,133,28.45%,74.37%,-13.96%,-0.24%,30.12%,183.7%,120.9%,202.0%,-13.96%,-37.44%
2007/05/31,2007/04/30,-1.75%,-0.21%,0.17%,0.54%,-0.76%,2.53%,3.13%,3.18%,4.00%,3.59%,3.83%,3.82%,0.16%,4.39%,3.54%,3.25%,77,103,111,111,106,62,131,147,148,138,29.73%,76.22%,-10.67%,3.57%,34.73%,192.9%,120.2%,215.3%,-10.67%,-35.05%
2007/06/30,2007/05/31,-1.17%,-0.08%,-1.57%,-0.38%,0.94%,-3.20%,-1.75%,-2.77%,-1.60%,-1.19%,1.62%,1.42%,1.42%,0.13%,-1.77%,-0.30%,76,103,109,111,107,60,128,143,146,136,32.46%,79.76%,-9.22%,5.04%,32.35%,192.0%,123.5%,215.7%,-9.22%,-34.13%
2007/07/31,2007/06/30,0.88%,-1.42%,-0.22%,0.21%,1.19%,-4.80%,-5.40%,-5.03%,-2.93%,-2.06%,1.70%,1.69%,2.56%,-3.87%,-3.46%,-4.37%,77,101,109,111,108,57,122,136,141,133,32.88%,84.70%,-7.67%,6.82%,27.77%,179.3%,121.4%,203.5%,-7.67%,-33.02%
2007/08/31,2007/07/31,-1.98%,-0.39%,0.73%,-0.31%,1.03%,-0.47%,0.44%,1.27%,1.01%,2.91%,4.93%,5.03%,0.67%,1.79%,1.50%,0.28%,75,101,110,110,109,57,122,137,143,137,36.88%,90.95%,-3.12%,12.20%,29.69%,180.0%,118.7%,208.9%,-3.12%,-29.64%
2007/09/30,2007/08/31,1.24%,0.90%,0.13%,-0.23%,-0.96%,3.83%,3.39%,2.21%,3.34%,4.54%,2.01%,2.34%,1.06%,3.31%,3.55%,2.61%,76,102,110,110,108,59,126,140,148,143,33.86%,92.30%,-1.17%,14.82%,34.30%,187.3%,116.6%,219.1%,-1.17%,-28.00%
2007/10/31,2007/09/30,-3.87%,0.32%,-0.16%,0.25%,-0.57%,-1.91%,1.76%,0.27%,2.27%,3.13%,3.82%,4.16%,0.89%,3.95%,2.05%,2.70%,73,102,110,111,108,58,128,141,151,148,38.27%,102.0%,2.60%,19.59%,37.05%,195.1%,118.1%,231.7%,0.00%,-25.01%
2007/11/30,2007/10/31,-0.78%,-1.72%,-0.55%,-0.75%,1.71%,-7.65%,-6.42%,-5.45%,-5.37%,-2.57%,7.49%,8.67%,2.90%,-3.63%,-4.49%,-6.24%,73,100,109,110,109,54,120,133,143,144,41.71%,112.2%,10.28%,29.96%,30.89%,176.7%,114.3%,219.7%,0.00%,-18.50%
2007/12/31,2007/11/30,-1.13%,-1.09%,-0.87%,0.25%,-0.91%,-4.62%,-3.21%,-2.21%,0.26%,0.69%,1.84%,4.38%,-0.13%,1.12%,-0.68%,-0.20%,72,99,108,110,108,51,116,130,143,145,42.03%,123.5%,12.31%,35.65%,30.00%,176.2%,115.3%,223.2%,0.00%,-14.94%
2008/01/31,2007/12/31,0.35%,1.03%,-0.43%,1.23%,1.23%,-5.18%,-3.08%,-4.96%,-5.54%,-7.45%,1.32%,-4.86%,1.92%,-8.04%,-5.98%,-6.58%,72,100,108,111,110,49,113,124,135,134,43.28%,118.4%,13.79%,29.05%,22.22%,158.0%,114.0%,197.2%,0.00%,-19.07%
2008/02/29,2008/01/31,-2.30%,-1.35%,0.34%,1.35%,-0.90%,-10.03%,-6.74%,-3.80%,-1.21%,-1.98%,-1.82%,1.21%,-0.06%,-1.55%,-3.00%,-1.92%,71,99,108,113,109,44,105,119,134,132,45.29%,136.0%,11.72%,30.62%,18.56%,153.0%,116.3%,192.6%,-1.82%,-18.09%
2008/03/31,2008/02/29,-2.86%,-1.65%,-0.18%,-0.17%,0.88%,-4.35%,-3.86%,-0.75%,-0.31%,0.52%,6.20%,5.99%,0.56%,0.65%,-0.63%,-1.15%,69,97,108,113,110,42,101,118,133,132,50.73%,147.6%,18.65%,38.45%,17.81%,150.1%,115.2%,194.5%,0.00%,-13.18%
2008/04/30,2008/03/31,1.46%,0.17%,0.50%,0.28%,0.04%,7.35%,5.72%,4.73%,5.08%,4.01%,3.30%,4.19%,1.00%,4.66%,4.79%,3.41%,70,97,108,113,110,45,107,124,140,137,48.58%,139.3%,22.56%,44.24%,23.46%,158.7%,112.2%,208.3%,0.00%,-9.55%
2008/05/31,2008/04/30,-3.81%,-1.90%,0.39%,-0.31%,-0.17%,-2.75%,-0.33%,2.26%,2.30%,2.74%,-1.97%,-0.30%,-1.86%,3.56%,1.98%,3.65%,67,96,109,113,110,44,106,126,143,141,54.00%,152.4%,20.15%,43.80%,25.90%,168.1%,115.8%,219.2%,-1.97%,-9.82%
2008/06/30,2008/05/31,1.71%,-1.32%,-2.35%,-0.37%,-0.94%,-18.43%,-13.42%,-9.53%,-6.28%,-6.85%,-0.36%,5.01%,-0.74%,-5.76%,-8.40%,-7.27%,68,94,106,112,109,36,92,114,134,132,49.92%,181.6%,19.72%,51.01%,15.32%,148.6%,118.2%,200.8%,-2.31%,-5.30%
2008/07/31,2008/06/30,-2.11%,-0.97%,1.99%,-0.48%,1.16%,1.19%,-1.08%,1.90%,-2.50%,0.51%,7.77%,4.30%,2.49%,3.46%,-0.54%,2.17%,67,93,108,112,110,36,91,116,131,132,54.81%,179.7%,29.02%,57.50%,14.70%,154.0%,124.1%,211.3%,0.00%,-1.23%
2008/08/31,2008/07/31,-6.13%,-1.90%,-0.98%,1.11%,0.15%,-0.18%,1.83%,0.98%,2.14%,1.56%,3.35%,0.24%,-0.82%,2.43%,1.65%,2.36%,63,92,107,113,110,36,93,118,134,134,64.53%,184.6%,33.35%,57.88%,16.60%,160.0%,125.7%,218.8%,0.00%,-1.00%
2008/09/30,2008/08/31,-11.28%,-4.10%,1.99%,2.51%,-0.37%,-25.89%,-13.96%,-6.50%,-7.98%,-7.62%,7.12%,8.14%,1.44%,-6.45%,-8.85%,-8.90%,56,88,109,116,110,27,80,110,123,124,82.47%,236.6%,42.84%,70.74%,6.28%,136.9%,125.6%,198.2%,0.00%,0.00%
2008/10/31,2008/09/30,-0.98%,-6.31%,-1.95%,-2.76%,2.80%,-26.68%,-23.97%,-20.34%,-18.28%,-12.06%,5.15%,7.74%,3.58%,-15.52%,-17.40%,-17.84%,55,82,107,113,113,20,61,88,100,109,89.37%,285.8%,50.20%,83.95%,-12.22%,94.63%,124.6%,152.0%,0.00%,0.00%
2008/11/30,2008/10/31,-7.65%,-2.32%,-1.69%,-0.94%,2.62%,-17.02%,-9.12%,-11.29%,-10.09%,-3.55%,12.27%,9.98%,4.61%,-7.71%,-7.97%,-10.70%,51,80,105,111,116,16,55,78,90,105,108.8%,337.8%,68.63%,102.3%,-19.21%,73.80%,118.5%,132.6%,0.00%,0.00%
2008/12/31,2008/11/30,-1.78%,-1.26%,0.38%,-0.41%,1.88%,4.89%,1.40%,2.68%,0.67%,3.07%,12.06%,7.40%,5.41%,7.71%,2.00%,5.49%,50,79,106,111,118,17,56,80,91,108,116.5%,329.8%,88.96%,117.3%,-17.59%,83.35%,126.1%,150.5%,0.00%,0.00%
2009/01/31,2008/12/31,-3.03%,-3.59%,-0.34%,0.88%,-0.45%,-10.26%,-14.06%,-10.50%,-7.74%,-5.84%,-9.38%,-13.50%,2.99%,-9.35%,-8.28%,-5.30%,48,77,106,112,117,15,48,71,84,102,122.0%,348.9%,71.24%,87.95%,-24.42%,73.63%,132.9%,127.1%,-9.38%,-13.50%
2009/02/28,2009/01/31,-5.92%,-4.25%,-1.09%,-0.75%,-0.69%,-22.64%,-14.76%,-12.55%,-10.20%,-8.23%,8.93%,5.53%,3.13%,-7.77%,-10.22%,-9.43%,46,73,104,111,116,12,41,62,75,94,133.6%,413.6%,86.53%,98.33%,-32.14%,57.26%,134.7%,109.4%,-1.29%,-8.72%
2009/03/31,2009/02/28,7.17%,-1.41%,-0.70%,0.84%,1.26%,23.50%,9.55%,8.71%,9.62%,7.83%,-4.37%,-14.20%,-0.53%,5.77%,8.87%,10.03%,49,72,104,112,118,15,45,68,83,101,119.8%,333.1%,78.37%,70.17%,-26.13%,73.03%,137.4%,121.5%,-5.60%,-21.68%
2009/04/30,2009/03/31,-8.82%,6.91%,-1.94%,-1.49%,2.04%,30.42%,23.20%,11.81%,11.03%,6.26%,1.98%,-18.09%,1.99%,9.62%,10.45%,15.05%,44,77,102,110,120,19,55,76,92,107,143.7%,228.5%,81.91%,39.39%,-18.40%,99.07%,148.3%,142.8%,-3.73%,-35.85%
2009/05/31,2009/04/30,-3.45%,2.48%,-0.86%,-2.08%,0.43%,10.89%,10.45%,5.56%,3.01%,4.64%,-2.77%,-12.56%,0.72%,2.09%,5.16%,5.85%,43,79,101,108,121,21,61,80,94,112,153.2%,207.9%,76.87%,21.88%,-14.20%,110.7%,150.1%,147.9%,-6.40%,-43.91%
2009/06/30,2009/05/31,-1.46%,0.50%,1.69%,-0.26%,-0.12%,-1.97%,-2.39%,0.41%,0.10%,1.22%,-5.58%,-4.71%,-0.76%,1.50%,0.39%,2.91%,42,80,102,108,121,21,60,80,95,114,156.5%,217.8%,67.01%,16.14%,-13.86%,116.9%,156.4%,151.6%,-11.62%,-46.55%
2009/07/31,2009/06/30,-1.39%,-0.60%,-2.52%,0.85%,0.21%,12.19%,10.62%,7.24%,8.62%,6.62%,0.78%,-0.08%,-1.15%,8.49%,7.78%,8.51%,42,79,100,109,121,23,66,86,103,121,160.6%,200.0%,68.31%,16.05%,-7.16%,135.3%,158.3%,173.0%,-10.93%,-46.59%
2009/08/31,2009/07/31,4.26%,0.95%,-1.88%,-1.69%,0.56%,11.42%,8.26%,4.07%,4.03%,1.49%,-13.84%,-19.61%,-4.46%,-3.84%,3.49%,2.04%,44,80,98,107,122,26,71,90,107,123,151.0%,170.3%,45.02%,-6.70%,-3.92%,140.1%,154.5%,162.5%,-23.25%,-57.06%
2009/09/30,2009/08/31,0.37%,-0.81%,-1.29%,0.41%,-0.68%,9.39%,6.32%,4.17%,4.37%,3.23%,-2.18%,-5.45%,-0.56%,5.10%,4.15%,6.73%,44,79,97,107,121,28,76,94,112,127,148.4%,153.6%,41.85%,-11.78%,0.06%,156.3%,161.1%,175.9%,-24.93%,-59.40%
2009/10/31,2009/09/30,-4.09%,-1.03%,1.54%,0.91%,0.14%,-10.72%,-6.47%,-2.56%,-2.57%,-1.43%,4.05%,4.78%,0.55%,-3.73%,-2.59%,-5.16%,42,78,98,108,121,25,71,91,109,125,158.9%,177.2%,47.59%,-7.56%,-2.53%,143.1%,154.4%,165.6%,-21.89%,-57.46%
2009/11/30,2009/10/31,-2.73%,0.28%,-0.24%,1.41%,-0.70%,3.51%,4.95%,5.06%,5.92%,5.83%,4.52%,3.58%,0.11%,4.70%,5.59%,3.63%,41,79,98,110,120,26,75,96,115,133,164.1%,183.6%,54.27%,-4.25%,2.92%,151.9%,149.4%,178.1%,-18.36%,-55.93%
2009/12/31,2009/11/30,0.71%,1.16%,-0.29%,0.25%,-0.01%,8.58%,5.42%,4.04%,2.33%,1.91%,0.66%,-0.43%,0.63%,6.37%,2.80%,6.50%,41,80,98,110,120,28,79,100,118,135,162.3%,164.7%,55.28%,-4.67%,5.80%,168.3%,158.6%,195.8%,-17.83%,-56.13%
2010/01/31,2009/12/31,0.84%,0.84%,-1.49%,-0.64%,0.15%,-1.88%,-1.51%,-4.48%,-3.27%,-3.35%,-4.84%,-7.90%,-1.48%,-4.90%,-3.38%,-2.53%,41,80,96,109,120,28,77,95,114,131,160.4%,160.8%,47.77%,-12.20%,2.23%,161.5%,160.8%,181.3%,-21.80%,-59.59%
2010/02/28,2010/01/31,-2.01%,1.26%,0.34%,0.40%,-0.62%,4.33%,4.72%,3.65%,3.70%,2.74%,0.51%,1.59%,0.77%,4.44%,3.44%,3.96%,41,81,97,110,120,29,81,99,118,134,164.1%,156.7%,48.52%,-10.81%,5.74%,171.8%,162.2%,193.8%,-21.40%,-58.95%
2010/03/31,2010/02/28,3.54%,0.58%,0.67%,-0.04%,-0.61%,11.72%,8.05%,6.99%,5.95%,5.45%,-2.32%,-3.67%,-0.27%,5.84%,6.36%,6.94%,42,82,97,110,119,32,88,106,125,141,153.1%,140.6%,45.07%,-14.08%,12.47%,190.7%,163.7%,210.9%,-23.23%,-60.46%
2010/04/30,2010/03/31,4.55%,-0.50%,-0.50%,1.21%,-0.68%,5.99%,2.61%,2.05%,3.64%,0.58%,-10.20%,-11.17%,-2.60%,1.57%,2.11%,4.92%,44,81,97,111,118,34,90,108,130,142,139.9%,127.6%,30.28%,-23.67%,14.85%,205.0%,171.1%,215.8%,-31.06%,-64.87%
2010/05/31,2010/04/30,4.55%,1.50%,0.90%,0.05%,-0.40%,-9.15%,-7.69%,-6.13%,-8.33%,-8.48%,4.49%,5.25%,1.77%,-5.67%,-7.82%,-7.25%,46,83,98,111,118,31,83,101,119,130,128.0%,129.1%,36.13%,-19.67%,5.86%,182.9%,172.7%,197.9%,-27.96%,-63.03%
2010/06/30,2010/05/31,1.68%,0.53%,0.48%,-0.21%,0.28%,-8.00%,-5.16%,-4.83%,-6.54%,-4.97%,7.60%,6.75%,3.23%,-3.66%,-5.53%,-5.68%,47,83,98,111,118,29,79,96,111,124,124.8%,136.0%,46.48%,-14.24%,0.01%,166.8%,172.2%,187.0%,-22.48%,-60.53%
2010/07/31,2010/06/30,0.84%,0.28%,1.34%,0.65%,-1.75%,9.39%,7.60%,6.91%,7.21%,6.16%,0.02%,0.27%,-1.64%,5.78%,7.01%,5.70%,47,83,99,112,116,31,85,103,119,131,119.0%,128.4%,46.51%,-14.01%,7.02%,182.0%,168.7%,203.6%,-22.47%,-60.42%
2010/08/31,2010/07/31,-2.01%,0.33%,0.66%,0.29%,0.57%,-9.14%,-5.69%,-4.10%,-4.20%,-4.73%,3.04%,2.49%,2.37%,-4.85%,-4.66%,-5.60%,46,83,100,112,116,29,80,99,114,125,124.6%,138.5%,50.95%,-11.86%,2.02%,166.2%,166.2%,188.9%,-20.11%,-59.44%
2010/09/30,2010/08/31,0.08%,-0.22%,0.61%,0.95%,-1.38%,12.92%,9.40%,9.62%,7.93%,10.41%,0.69%,1.00%,-2.64%,11.31%,9.41%,11.01%,46,83,101,113,115,32,87,108,123,138,121.3%,132.5%,52.00%,-10.98%,11.62%,195.5%,170.4%,221.5%,-19.56%,-59.03%
2010/10/31,2010/09/30,2.86%,-0.24%,0.91%,-0.09%,-0.09%,4.39%,3.50%,3.86%,3.05%,4.90%,0.56%,0.84%,0.18%,5.18%,3.89%,4.93%,47,83,102,113,115,34,90,112,127,145,114.8%,133.7%,52.86%,-10.23%,15.96%,210.1%,173.3%,238.2%,-19.11%,-58.68%
2010/11/30,2010/10/31,2.78%,-0.67%,-0.08%,-0.02%,0.10%,0.04%,0.27%,0.39%,0.12%,1.16%,3.58%,4.44%,0.58%,4.18%,0.54%,2.85%,49,83,101,113,115,34,91,113,127,147,109.1%,136.3%,58.33%,-6.24%,16.58%,218.9%,179.6%,252.3%,-16.21%,-56.85%
2010/12/31,2010/11/30,-2.02%,-1.92%,-0.18%,-0.72%,-0.81%,8.21%,8.19%,7.43%,6.04%,6.21%,-2.42%,-4.74%,-1.59%,5.50%,6.70%,6.93%,48,81,101,112,114,37,98,121,135,156,111.6%,131.6%,54.50%,-10.69%,24.40%,241.0%,180.2%,271.7%,-18.24%,-58.90%
2011/01/31,2010/12/31,2.37%,-0.62%,0.42%,-0.23%,0.18%,3.16%,2.10%,2.17%,1.98%,1.91%,-2.44%,-4.92%,0.25%,-0.33%,2.06%,1.14%,49,80,102,112,114,38,100,124,137,159,106.9%,128.7%,50.73%,-15.08%,26.96%,244.9%,177.6%,270.5%,-20.23%,-60.92%
2011/02/28,2011/01/31,0.37%,-0.63%,-0.54%,0.08%,0.67%,4.63%,3.49%,2.68%,3.55%,4.09%,1.02%,0.84%,0.06%,4.33%,3.59%,4.08%,49,80,101,112,115,39,104,127,142,165,107.6%,127.4%,52.26%,-14.37%,31.52%,259.0%,179.0%,286.5%,-19.42%,-60.59%
2011/03/31,2011/02/28,0.37%,1.17%,0.64%,0.64%,-0.35%,0.83%,0.20%,1.26%,0.16%,0.30%,2.70%,3.07%,0.88%,2.70%,0.49%,1.78%,49,81,102,113,115,40,104,129,143,166,106.1%,126.2%,56.37%,-11.75%,32.16%,265.4%,182.6%,297.0%,-17.25%,-59.38%
2011/04/30,2011/03/31,0.04%,-0.18%,0.64%,0.92%,-0.67%,2.96%,2.61%,3.34%,2.69%,3.07%,2.70%,2.53%,0.21%,2.94%,2.97%,2.18%,49,81,102,114,114,41,107,133,146,171,104.6%,126.5%,60.59%,-9.52%,36.08%,273.4%,180.4%,308.7%,-15.01%,-58.36%
2011/05/31,2011/04/30,1.05%,-0.05%,0.54%,0.94%,-0.77%,-0.78%,-1.87%,-0.72%,-0.77%,-1.71%,2.37%,2.06%,0.65%,-0.96%,-1.22%,-1.58%,50,81,103,115,113,41,105,132,145,168,100.9%,124.4%,64.40%,-7.65%,34.42%,267.5%,179.4%,304.7%,-13.00%,-57.50%
2011/06/30,2011/05/31,-2.41%,0.63%,0.90%,0.03%,0.35%,-4.98%,-1.82%,-1.30%,-1.73%,-1.56%,3.67%,3.55%,1.55%,-0.67%,-1.74%,-1.73%,49,81,104,115,113,39,103,130,143,165,106.4%,132.1%,70.44%,-4.37%,32.08%,261.1%,179.4%,302.0%,-9.80%,-55.99%
2011/07/31,2011/06/30,0.32%,-0.80%,0.83%,-0.87%,1.13%,-3.01%,-3.65%,-1.85%,-3.36%,-1.19%,0.81%,-0.05%,1.07%,-2.44%,-2.26%,-2.42%,49,81,105,114,115,37,99,128,138,163,108.1%,136.3%,71.81%,-4.42%,29.09%,252.4%,178.9%,292.2%,-9.07%,-56.01%
2011/08/31,2011/07/31,-2.20%,-0.52%,0.47%,0.73%,0.79%,-9.94%,-7.56%,-5.86%,-5.65%,-5.01%,6.03%,6.01%,2.38%,-5.76%,-5.89%,-7.56%,48,80,105,115,115,34,91,120,130,155,114.3%,147.9%,82.18%,1.32%,21.49%,225.7%,174.3%,269.6%,-3.59%,-53.37%
2011/09/30,2011/08/31,-3.79%,-2.12%,-0.10%,0.11%,0.88%,-13.64%,-10.24%,-6.93%,-7.11%,-6.77%,4.97%,4.35%,1.70%,-8.36%,-7.63%,-9.66%,46,78,105,115,116,29,82,112,121,145,124.4%,164.9%,91.23%,5.74%,12.22%,194.3%,168.7%,238.8%,0.00%,-51.34%
2011/10/31,2011/09/30,1.59%,1.05%,0.70%,-0.58%,-0.56%,15.43%,13.80%,12.16%,10.16%,10.75%,3.75%,2.37%,-1.06%,13.03%,11.39%,12.32%,47,79,106,114,116,34,93,126,133,160,119.5%,152.5%,98.41%,8.24%,25.00%,230.5%,171.2%,282.9%,0.00%,-50.18%
2011/11/30,2011/10/31,-3.74%,0.59%,0.12%,1.06%,0.56%,-6.21%,-0.54%,-0.96%,0.38%,0.18%,4.61%,5.50%,1.79%,0.88%,-0.35%,-0.77%,45,80,106,115,116,31,93,124,134,160,128.9%,168.7%,107.6%,14.19%,24.56%,228.0%,170.1%,286.3%,0.00%,-47.45%
2011/12/31,2011/11/30,-0.54%,-1.03%,0.24%,0.17%,1.07%,1.07%,-0.38%,0.91%,0.57%,1.45%,2.63%,1.89%,1.24%,0.89%,0.85%,0.32%,45,79,106,116,118,32,93,126,134,163,132.6%,169.7%,113.0%,16.35%,25.62%,229.0%,168.7%,289.7%,0.00%,-46.45%
2012/01/31,2011/12/31,3.12%,0.02%,-1.21%,-1.15%,-1.32%,11.24%,6.26%,5.58%,4.25%,4.37%,-5.44%,-8.92%,-2.56%,4.55%,5.09%,7.22%,46,79,105,114,116,35,98,133,140,170,122.3%,151.2%,101.4%,5.96%,32.02%,252.8%,174.4%,307.4%,-5.44%,-51.23%
2012/02/29,2012/01/31,2.41%,-1.35%,-0.40%,-0.68%,0.45%,8.50%,3.58%,3.34%,3.47%,5.10%,-0.99%,-2.16%,-0.15%,2.67%,4.25%,3.31%,47,78,105,113,117,38,102,137,145,179,117.9%,142.6%,99.44%,3.68%,37.63%,264.5%,171.8%,318.3%,-6.37%,-52.29%
2012/03/31,2012/02/29,-0.57%,-0.99%,-0.09%,1.13%,0.15%,3.60%,1.99%,2.53%,3.86%,3.32%,1.98%,1.19%,1.20%,3.59%,3.15%,3.24%,47,77,105,115,117,40,104,141,151,184,119.5%,141.9%,103.4%,4.91%,41.95%,276.3%,172.1%,333.3%,-4.52%,-51.72%
2012/04/30,2012/03/31,0.51%,1.62%,0.97%,0.68%,0.21%,-0.95%,-0.51%,-0.19%,-0.79%,-0.94%,1.16%,1.08%,1.16%,-0.75%,-0.69%,-1.07%,47,78,106,115,117,39,103,140,149,183,118.8%,142.0%,105.8%,6.04%,40.97%,272.2%,171.0%,330.1%,-3.41%,-51.20%
2012/05/31,2012/04/30,0.05%,0.15%,1.38%,0.84%,-0.21%,-7.41%,-7.69%,-3.98%,-5.79%,-6.81%,-0.45%,2.29%,0.33%,-6.28%,-6.09%,-6.96%,47,78,107,116,117,37,95,135,141,170,118.3%,143.4%,104.8%,8.47%,32.39%,246.3%,168.7%,303.1%,-3.84%,-50.08%
2012/06/30,2012/05/31,0.65%,-0.99%,0.10%,-0.48%,0.76%,4.86%,3.37%,3.48%,3.59%,4.68%,3.37%,2.82%,0.45%,4.98%,3.98%,4.14%,47,78,107,116,118,38,99,139,146,178,118.5%,143.0%,111.7%,11.52%,37.67%,260.6%,169.1%,323.2%,-0.60%,-48.67%
2012/07/31,2012/06/30,-0.52%,0.52%,0.27%,0.62%,0.01%,-0.27%,-0.19%,0.70%,1.10%,1.30%,-0.49%,-0.32%,0.46%,-0.92%,0.87%,-0.82%,47,78,107,117,118,38,98,140,147,181,119.7%,146.8%,110.7%,11.17%,38.87%,257.7%,164.5%,319.3%,-1.09%,-48.84%
2012/08/31,2012/07/31,-0.43%,-0.80%,-0.17%,-0.89%,0.76%,2.61%,2.87%,2.36%,1.40%,3.17%,2.03%,0.27%,-0.01%,2.64%,2.50%,2.56%,47,77,107,116,119,39,101,144,150,186,122.3%,148.2%,115.0%,11.47%,42.34%,266.8%,164.6%,330.3%,0.00%,-48.70%
2012/09/30,2012/08/31,-0.49%,0.37%,-0.00%,-0.29%,-0.19%,2.36%,3.25%,2.74%,2.42%,2.35%,0.54%,-2.69%,0.15%,2.45%,2.56%,3.25%,47,78,107,115,118,40,105,148,153,191,122.9%,148.2%,116.1%,8.47%,45.99%,278.8%,166.5%,340.9%,0.00%,-50.08%
2012/10/31,2012/09/30,-0.78%,2.43%,0.69%,0.25%,-0.93%,-2.57%,0.66%,-0.91%,-1.14%,-3.25%,4.26%,1.76%,1.68%,-1.33%,-1.70%,-1.86%,46,80,108,116,117,39,105,146,151,184,122.6%,146.5%,125.4%,10.38%,43.50%,271.7%,166.1%,335.0%,0.00%,-49.20%
2012/11/30,2012/10/31,0.02%,-0.97%,0.19%,-0.05%,-0.08%,1.01%,-0.29%,1.02%,0.67%,0.83%,2.04%,1.20%,0.54%,1.41%,0.66%,1.05%,46,79,108,115,117,39,105,148,152,186,122.4%,146.0%,130.0%,11.70%,44.45%,275.6%,167.1%,341.1%,0.00%,-48.59%
2012/12/31,2012/11/30,0.70%,1.50%,0.55%,-0.25%,-0.52%,0.89%,2.50%,2.29%,1.58%,-0.09%,2.68%,0.54%,-0.04%,2.60%,1.26%,2.44%,47,80,109,115,117,40,108,151,155,186,119.6%,143.6%,136.1%,12.31%,46.27%,284.8%,170.3%,352.6%,0.00%,-48.31%
2013/01/31,2012/12/31,1.77%,1.10%,0.88%,-0.21%,-1.21%,7.13%,6.24%,6.22%,5.27%,4.91%,-2.09%,-3.06%,-0.44%,5.56%,5.53%,6.47%,48,81,110,115,115,43,114,161,163,195,113.1%,138.2%,131.2%,8.87%,54.35%,309.7%,172.8%,377.8%,-2.09%,-49.89%
2013/02/28,2013/01/31,1.49%,0.66%,0.38%,-0.19%,-0.43%,2.80%,1.82%,1.30%,1.05%,1.06%,1.11%,0.70%,0.21%,1.09%,1.30%,0.88%,48,81,110,115,115,44,116,163,165,197,109.0%,134.1%,133.7%,9.63%,56.35%,313.3%,171.7%,383.0%,-1.00%,-49.54%
2013/03/31,2013/02/28,2.45%,1.06%,0.36%,0.20%,-1.41%,6.54%,4.53%,3.91%,4.15%,3.24%,0.96%,0.78%,-0.24%,4.66%,4.00%,4.43%,49,82,110,115,113,47,122,169,172,203,101.0%,126.3%,136.0%,10.49%,62.60%,331.6%,172.8%,405.5%,-0.05%,-49.15%
