Date,fdate,ltr60_AR_1,ltr60_AR_2,ltr60_AR_3,ltr60_AR_4,ltr60_AR_5,ltr60_TR_1,ltr60_TR_2,ltr60_TR_3,ltr60_TR_4,ltr60_TR_5,ltr60_AR_Sig,ltr60_TR_Sig,ltr60_AR_130,ltr60_TR_130,ltr60_TR_BP,ltr60_TR_LO,ltr60_CAR_1,ltr60_CAR_2,ltr60_CAR_3,ltr60_CAR_4,ltr60_CAR_5,ltr60_CTR_1,ltr60_CTR_2,ltr60_CTR_3,ltr60_CTR_4,ltr60_CTR_5,ltr60_CAR_LS,ltr60_CTR_LS,ltr60_CAR_SW,ltr60_CTR_SW,ltr60_CTR_BP,ltr60_CTR_LO,ltr60_CXR_LO,ltr60_CTR_13,ltr60_CADD,ltr60_CTDD
2001/02/28,2001/01/31,1.70%,-1.20%,1.11%,4.19%,6.33%,-11.17%,-5.48%,-6.92%,-8.19%,-12.14%,14.76%,5.14%,19.09%,-4.63%,-9.48%,-6.17%,102,99,101,104,106,89,95,93,92,88,4.63%,-0.97%,14.76%,5.14%,-9.48%,-6.17%,3.30%,-4.63%,0.00%,0.00%
2001/03/31,2001/02/28,-0.30%,-0.88%,-0.49%,2.40%,5.31%,-7.59%,-5.13%,-6.70%,-5.71%,-3.73%,4.83%,1.39%,5.79%,-6.12%,-6.73%,-6.54%,101,98,101,107,112,82,90,87,87,85,10.50%,2.86%,20.30%,6.61%,-15.57%,-12.31%,3.50%,-10.47%,0.00%,0.00%
2001/04/30,2001/03/31,0.25%,0.28%,2.11%,-2.81%,-3.04%,8.74%,6.46%,9.15%,7.31%,8.18%,-6.40%,-3.55%,-7.20%,6.20%,8.26%,7.26%,102,98,103,104,109,89,95,95,93,92,6.86%,2.29%,12.61%,2.83%,-8.60%,-5.94%,2.47%,-4.92%,-6.40%,-3.55%
2001/05/31,2001/04/30,-0.10%,0.40%,-2.32%,-0.48%,0.42%,0.27%,2.65%,1.02%,1.93%,3.38%,5.57%,4.78%,7.23%,9.41%,1.01%,7.97%,102,99,100,103,109,90,98,96,95,95,7.42%,5.46%,18.88%,7.75%,-7.68%,1.55%,9.60%,4.02%,-1.18%,0.00%
2001/06/30,2001/05/31,1.40%,-0.96%,-0.35%,1.03%,3.92%,-1.54%,-2.52%,-2.15%,-1.40%,3.08%,0.47%,0.58%,-1.85%,1.60%,-1.54%,1.42%,103,98,100,104,113,88,96,94,93,98,10.12%,10.33%,19.45%,8.38%,-9.10%,3.00%,12.85%,5.68%,-0.71%,0.00%
2001/07/31,2001/06/30,-1.26%,1.01%,-0.79%,-1.51%,6.85%,-3.01%,1.18%,-2.04%,-2.01%,3.12%,2.49%,0.97%,5.22%,-2.11%,-1.79%,-2.40%,102,99,99,103,121,85,97,92,91,101,19.05%,17.09%,22.42%,9.43%,-10.73%,0.52%,12.16%,3.45%,0.00%,0.00%
2001/08/31,2001/07/31,-0.75%,0.94%,1.36%,4.16%,3.86%,-7.93%,-3.52%,-5.07%,-2.45%,-4.64%,3.79%,2.75%,4.24%,-2.26%,-5.97%,-3.08%,101,100,101,107,126,79,93,87,89,96,24.53%,20.94%,27.06%,12.44%,-16.06%,-2.58%,15.40%,1.11%,0.00%,0.00%
2001/09/30,2001/08/31,-1.68%,1.08%,-0.46%,-0.04%,3.95%,-9.09%,-5.39%,-10.41%,-10.62%,-13.16%,0.43%,-1.52%,3.29%,-14.61%,-8.92%,-14.16%,99,101,100,107,131,72,88,78,80,83,31.56%,16.01%,27.61%,10.73%,-23.54%,-16.37%,9.35%,-13.66%,0.00%,-1.52%
2001/10/31,2001/09/30,2.53%,2.67%,1.70%,-0.29%,1.31%,2.75%,3.14%,2.42%,1.47%,4.28%,-4.76%,-0.59%,-5.36%,7.96%,2.68%,8.14%,102,103,102,107,132,74,91,80,81,87,29.96%,17.79%,21.53%,10.07%,-21.50%,-9.56%,15.32%,-6.79%,-4.76%,-2.10%
2001/11/30,2001/10/31,0.39%,-0.12%,-1.50%,-3.02%,-0.94%,7.71%,7.65%,7.63%,7.21%,9.69%,-0.94%,0.43%,-1.71%,8.65%,7.75%,8.52%,102,103,100,103,131,79,98,86,87,95,28.22%,20.13%,20.38%,10.55%,-15.41%,-1.85%,16.22%,1.28%,-5.66%,-1.68%
